Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
62M,3,1.5,5001,0,0,0.0265946810637872,0.0,pcd9jv2o
62M,10,0.0,5001,85,0,0.0165966806638672,0.0,fbe6vxot
62M,10,0.1,5001,103,0,0.0155968806238752,0.0001999600079984,tziyotyz
62M,10,0.1778,5001,166,0,0.0157968406318736,0.0005998800239952,q5sd7hy0
62M,10,0.3162,4990,587,0,0.014629258517034,0.0022044088176352,4khftqaw
62M,10,0.5623,5001,2593,0,0.0183963207358528,0.0115976804639072,otg13mgv
62M,10,0.75,5001,3583,0,0.0135972805438912,0.0111977604479104,d7ax4jp8
62M,10,0.93804187,5001,2377,0,0.0117976404719056,0.0051989602079584,gf9befxr
62M,10,1.0,5001,1644,0,0.0115976804639072,0.0045990801839632,wm6nr8a4
62M,10,1.29154967,5001,0,0,0.0047990401919616,0.0,5aap5gu7
62M,10,1.5,5001,0,0,0.0251949610077984,0.0,1rkhq2bw
62M,32,0.0,5001,1380,0,0.0177964407118576,0.0065986802639472,24dudner
62M,32,0.1,5001,1549,0,0.0185962807438512,0.006998600279944,7n5gd54v
62M,32,0.1778,5001,1693,0,0.01499700059988,0.0077984403119376,4qai0lfx
62M,32,0.3162,5001,2299,0,0.0151969606078784,0.006998600279944,w9dxdjbd
62M,32,0.5623,5001,3590,0,0.0145970805838832,0.010997800439912,ofcg60xu
62M,32,0.75,5001,4140,0,0.0125974805038992,0.0101979604079184,3tzwx2v8
62M,32,0.93804187,5001,2933,0,0.0115976804639072,0.0055988802239552,gr15fh7d
62M,32,1.0,5001,1605,0,0.012997400519896,0.002999400119976,4nwdglhq
62M,32,1.29154967,5001,0,0,0.0113977204559088,0.0,5gz49frl
62M,32,1.5,5001,0,0,0.0265946810637872,0.0,s7p1lt4w
62M,100,0.0,5001,4672,0,0.0739852029594081,0.0729854029194161,z4xx7jnx
62M,100,0.1,5001,4660,0,0.0731853629274145,0.0717856428714257,ac4n9tgo
62M,100,0.1778,5001,4656,0,0.0695860827834433,0.0683863227354529,o4tlnvxa
62M,100,0.3162,5001,4632,0,0.0591881623675265,0.0583883223355328,a0ojpavb
62M,100,0.5623,5001,4643,0,0.0367926414717056,0.0355928814237152,ji4w4lif
62M,100,0.75,5001,4502,0,0.0247950409918016,0.022995400919816,711coqo8
62M,100,0.93804187,5001,2871,0,0.0175964807038592,0.0121975604879024,gvhjz6dt
62M,100,1.0,5001,1360,0,0.0141971605678864,0.003999200159968,7bs2mb3y
62M,100,1.29154967,5001,2,0,0.0097980403919216,0.0,xn7kha0t
62M,100,1.5,5001,0,0,0.0173965206958608,0.0,2bkpsixm
62M,316,0.0,5001,4958,0,0.7990401919616077,0.7978404319136173,kwtjxpou
62M,316,0.1,5001,4956,0,0.8006398720255948,0.7994401119776045,icsl6hud
62M,316,0.1778,5001,4954,0,0.7954409118176364,0.7940411917616477,r1nq07de
62M,316,0.3162,5001,4948,0,0.7756448710257948,0.7746450709858028,jso6fk99
62M,316,0.5623,5001,4892,0,0.6110777844431113,0.6094781043791242,8ehkr45l
62M,316,0.75,5001,4677,0,0.2871425714857029,0.285742851429714,mglt2q6c
62M,316,0.93804187,5001,2874,0,0.0327934413117376,0.0265946810637872,7hpei6hg
62M,316,1.0,5001,1338,0,0.018996200759848,0.00999800039992,911tkmsh
62M,316,1.29154967,5001,0,0,0.0065986802639472,0.0,27w91a7w
62M,316,1.5,5001,0,0,0.002999400119976,0.0,uiu1ua3f
93M,0,0.0,5001,0,0,0.0073985202959408,0.0,k4j7fof8
93M,0,0.1,5001,0,0,0.0075984803039392,0.0,vrzp1ehn
93M,0,0.1778,5001,0,0,0.0115976804639072,0.0,8lmo8q8v
93M,0,0.3162,5001,0,0,0.0117976404719056,0.0,gdr8o0qg
93M,0,0.5623,5001,0,0,0.0077984403119376,0.0,j5y0jc3x
93M,0,0.75,5001,0,0,0.0063987202559488,0.0,p0ipzcs8
93M,0,0.93804187,5001,0,0,0.0073985202959408,0.0,2y8u5xet
93M,0,1.0,5001,0,0,0.011997600479904,0.0,fieok4eu
93M,0,1.29154967,5001,0,0,0.0183963207358528,0.0,qztiihul
93M,0,1.5,5001,0,0,0.0255948810237952,0.0,llxmtn0c
93M,1,0.0,5001,33,0,0.0131973605278944,0.0,qbkm68yd
