Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score,baseline_score,advantage
153M,0,0.0,0.0117976404719056,c9boww7q,0.0117976404719056,,0.0117976404719056,0.0
153M,0,0.1,0.0127974405118976,r09k0cto,0.0117976404719056,,0.0127974405118976,0.0
153M,0,0.1778,0.0123975204959008,ebm3kzag,0.0117976404719056,,0.0123975204959008,0.0
153M,0,0.3162,0.012997400519896,an5ca2zl,0.0117976404719056,,0.012997400519896,0.0
153M,0,0.5623,0.0097980403919216,cjhajlhh,0.0117976404719056,,0.0097980403919216,0.0
153M,0,1.0,0.0093981203759248,f6vj4l0s,0.0117976404719056,,0.0093981203759248,0.0
153M,1,0.0,0.0173965206958608,ionurkem,0.0173965206958608,,0.0117976404719056,0.005598880223955202
153M,1,0.1,0.015996800639872,b7m6v56q,0.0173965206958608,,0.0127974405118976,0.003199360127974402
153M,1,0.1778,0.0167966406718656,8zuomkrk,0.0173965206958608,,0.0123975204959008,0.0043991201759647994
153M,1,0.3162,0.0175964807038592,mxhviuyb,0.0173965206958608,,0.012997400519896,0.004599080183963201
153M,1,0.5623,0.0157968406318736,uaxy6f0q,0.0173965206958608,,0.0097980403919216,0.005998800239952001
153M,1,1.0,0.0103979204159168,tvkz37cy,0.0173965206958608,,0.0093981203759248,0.0009998000399920014
153M,3,0.0,0.0181963607278544,h1eof0ky,0.0181963607278544,,0.0117976404719056,0.0063987202559488005
153M,3,0.1,0.0191961607678464,xgl3msv1,0.0181963607278544,,0.0127974405118976,0.006398720255948802
153M,3,0.1778,0.0173965206958608,edmkroro,0.0181963607278544,,0.0123975204959008,0.004999000199960002
153M,3,0.3162,0.0175964807038592,t38odhq2,0.0181963607278544,,0.012997400519896,0.004599080183963201
153M,3,0.5623,0.015996800639872,hyma7ge0,0.0181963607278544,,0.0097980403919216,0.006198760247950401
153M,3,1.0,0.012997400519896,f8wjalzy,0.0181963607278544,,0.0093981203759248,0.003599280143971201
153M,10,0.0,0.0177964407118576,fvzsslld,0.0177964407118576,,0.0117976404719056,0.005998800239952001
153M,10,0.1,0.016996600679864,fdazbbcg,0.0177964407118576,,0.0127974405118976,0.0041991601679664
153M,10,0.1778,0.018996200759848,xc90mg6w,0.0177964407118576,,0.0123975204959008,0.006598680263947198
153M,10,0.3162,0.0173965206958608,p9ywfc40,0.0177964407118576,,0.012997400519896,0.004399120175964801
153M,10,0.5623,0.0167966406718656,3vuulmga,0.0177964407118576,,0.0097980403919216,0.006998600279943999
153M,10,1.0,0.0095980803839232,lz70ycgv,0.0177964407118576,,0.0093981203759248,0.00019996000799840132
153M,32,0.0,0.0249950009998,4lmh2rch,0.0249950009998,,0.0117976404719056,0.0131973605278944
153M,32,0.1,0.0251949610077984,uegv0r0n,0.0249950009998,,0.0127974405118976,0.0123975204959008
153M,32,0.1778,0.027994401119776,2qhb7eqe,0.0249950009998,,0.0123975204959008,0.0155968806238752
153M,32,0.3162,0.0213957208558288,w2urc26b,0.0249950009998,,0.012997400519896,0.0083983203359328
153M,32,0.5623,0.0243951209758048,gu559vfh,0.0249950009998,,0.0097980403919216,0.0145970805838832
153M,32,1.0,0.015996800639872,sdac0ks7,0.0249950009998,,0.0093981203759248,0.006598680263947202
