run_id,problem_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Per-Problem Mean NLL
3bj3ojqn,log_prob_token_205,153M,153000000.0,10,Post-SFT,1.6974648502554601
3bj3ojqn,log_prob_token_206,153M,153000000.0,10,Post-SFT,1.7465381671670248
3bj3ojqn,log_prob_token_207,153M,153000000.0,10,Post-SFT,1.7213514768914102
3bj3ojqn,log_prob_token_208,153M,153000000.0,10,Post-SFT,1.7292268213003557
3bj3ojqn,log_prob_token_209,153M,153000000.0,10,Post-SFT,1.709850270987594
3bj3ojqn,log_prob_token_210,153M,153000000.0,10,Post-SFT,1.700410009165895
3bj3ojqn,log_prob_token_211,153M,153000000.0,10,Post-SFT,1.661332483327938
3bj3ojqn,log_prob_token_212,153M,153000000.0,10,Post-SFT,1.7520698307952978
3bj3ojqn,log_prob_token_213,153M,153000000.0,10,Post-SFT,1.748817436096689
3bj3ojqn,log_prob_token_214,153M,153000000.0,10,Post-SFT,1.6920026795683893
3bj3ojqn,log_prob_token_215,153M,153000000.0,10,Post-SFT,1.657803266060821
3bj3ojqn,log_prob_token_216,153M,153000000.0,10,Post-SFT,1.6862095291562567
3bj3ojqn,log_prob_token_217,153M,153000000.0,10,Post-SFT,1.7266742205217267
3bj3ojqn,log_prob_token_218,153M,153000000.0,10,Post-SFT,1.7062765447661752
3bj3ojqn,log_prob_token_219,153M,153000000.0,10,Post-SFT,1.6999191775436648
3bj3ojqn,log_prob_token_220,153M,153000000.0,10,Post-SFT,1.7431112040030883
3bj3ojqn,log_prob_token_221,153M,153000000.0,10,Post-SFT,1.7324754248215772
3bj3ojqn,log_prob_token_222,153M,153000000.0,10,Post-SFT,1.7460220908674826
3bj3ojqn,log_prob_token_223,153M,153000000.0,10,Post-SFT,1.7660990909883427
3bj3ojqn,log_prob_token_224,153M,153000000.0,10,Post-SFT,1.6267435531237509
3bj3ojqn,log_prob_token_225,153M,153000000.0,10,Post-SFT,1.73364310211253
3bj3ojqn,log_prob_token_226,153M,153000000.0,10,Post-SFT,1.6545589172609352
3bj3ojqn,log_prob_token_227,153M,153000000.0,10,Post-SFT,1.6789447702953952
3bj3ojqn,log_prob_token_228,153M,153000000.0,10,Post-SFT,1.7465649170302655
3bj3ojqn,log_prob_token_229,153M,153000000.0,10,Post-SFT,1.7824977055123181
3bj3ojqn,log_prob_token_230,153M,153000000.0,10,Post-SFT,1.6884567735118128
3bj3ojqn,log_prob_token_231,153M,153000000.0,10,Post-SFT,1.6416839190805426
3bj3ojqn,log_prob_token_232,153M,153000000.0,10,Post-SFT,1.719697146922233
3bj3ojqn,log_prob_token_233,153M,153000000.0,10,Post-SFT,1.7314261531854516
3bj3ojqn,log_prob_token_234,153M,153000000.0,10,Post-SFT,1.6275587364660664
3bj3ojqn,log_prob_token_235,153M,153000000.0,10,Post-SFT,1.8166679656761133
3bj3ojqn,log_prob_token_236,153M,153000000.0,10,Post-SFT,1.699335407149818
3bj3ojqn,log_prob_token_237,153M,153000000.0,10,Post-SFT,1.7213241444543275
3bj3ojqn,log_prob_token_238,153M,153000000.0,10,Post-SFT,1.8096311439439887
3bj3ojqn,log_prob_token_239,153M,153000000.0,10,Post-SFT,1.7557201168389784
3bj3ojqn,log_prob_token_240,153M,153000000.0,10,Post-SFT,1.8276100163475808
3bj3ojqn,log_prob_token_241,153M,153000000.0,10,Post-SFT,1.6405501168875845
3bj3ojqn,log_prob_token_242,153M,153000000.0,10,Post-SFT,1.852170385627051
3bj3ojqn,log_prob_token_243,153M,153000000.0,10,Post-SFT,1.6158739884434432
3bj3ojqn,log_prob_token_244,153M,153000000.0,10,Post-SFT,1.7189070168075637
3bj3ojqn,log_prob_token_245,153M,153000000.0,10,Post-SFT,1.7578104907843353
3bj3ojqn,log_prob_token_246,153M,153000000.0,10,Post-SFT,1.6112913368950925
3bj3ojqn,log_prob_token_247,153M,153000000.0,10,Post-SFT,1.7051156397176475
3bj3ojqn,log_prob_token_248,153M,153000000.0,10,Post-SFT,1.6588955485729284
3bj3ojqn,log_prob_token_249,153M,153000000.0,10,Post-SFT,1.7334602801239438
3bj3ojqn,log_prob_token_250,153M,153000000.0,10,Post-SFT,1.7933673245156059
3bj3ojqn,log_prob_token_251,153M,153000000.0,10,Post-SFT,1.756550998100675
3bj3ojqn,log_prob_token_252,153M,153000000.0,10,Post-SFT,1.7464759401512526
3bj3ojqn,log_prob_token_253,153M,153000000.0,10,Post-SFT,1.698294430186304
3bj3ojqn,log_prob_token_254,153M,153000000.0,10,Post-SFT,1.6843385313624892
3bj3ojqn,log_prob_token_255,153M,153000000.0,10,Post-SFT,1.7257019136655394
3bj3ojqn,log_prob_token_256,153M,153000000.0,10,Post-SFT,1.603119738130389
3bj3ojqn,log_prob_token_257,153M,153000000.0,10,Post-SFT,1.6303302301805607
3bj3ojqn,log_prob_token_258,153M,153000000.0,10,Post-SFT,1.7094778612542973
3bj3ojqn,log_prob_token_259,153M,153000000.0,10,Post-SFT,1.671227821127495
3bj3ojqn,log_prob_token_260,153M,153000000.0,10,Post-SFT,1.7313925395984082
3bj3ojqn,log_prob_token_261,153M,153000000.0,10,Post-SFT,1.802588443392924
